crime_code,year,latitude,longitude
99,1234,55.5207,12.9606
99,1234,55.5212,12.9592
99,1234,55.5215,12.9589
99,1234,55.5219,12.962
99,1234,55.5226,12.9608
99,1234,55.5227,13.0104
99,1234,55.5238,12.9635
99,1234,55.5241,13.0119
99,1234,55.5244,12.9649
99,1234,55.5245,13.0164
99,1234,55.5247,12.9661
99,1234,55.5248,12.9512
99,1234,55.5249,13.0202
99,1234,55.525,13.0127
99,1234,55.5251,13.0077
99,1234,55.5252,13.0155
99,1234,55.5254,13.0203
99,1234,55.5256,13.0064
99,1234,55.5256,13.0126
99,1234,55.5256,13.0345
99,1234,55.5258,13.0184
99,1234,55.526,13.0054
99,1234,55.526,13.008
99,1234,55.526,13.0187
99,1234,55.5261,13.0185
99,1234,55.5263,13.0209
99,1234,55.5264,13.0128
99,1234,55.5264,13.0245
99,1234,55.5265,13.0006
99,1234,55.5265,13.0061
99,1234,55.5265,13.0167
99,1234,55.5267,13.0117
99,1234,55.5268,12.9628
99,1234,55.5269,13.0146
99,1234,55.5269,13.0193
99,1234,55.527,13.0132
99,1234,55.527,13.0184
99,1234,55.5275,13.0187
99,1234,55.5276,13.0097
99,1234,55.5278,13.0186
99,1234,55.5281,13.0177
99,1234,55.5281,13.02
99,1234,55.5281,13.0206
99,1234,55.5284,13.0097
99,1234,55.5284,13.0189
99,1234,55.5284,13.0203
99,1234,55.5285,13.0146
99,1234,55.5286,13.0125
99,1234,55.5288,13.0128
99,1234,55.5288,13.0165
99,1234,55.5289,13.0189
99,1234,55.529,13.0139
99,1234,55.5292,13.005
99,1234,55.5292,13.0228
99,1234,55.5293,13.0235
99,1234,55.5294,13.0212
99,1234,55.5295,13.0088
99,1234,55.5295,13.0099
99,1234,55.5295,13.011
99,1234,55.5295,13.0142
99,1234,55.5297,13.0067
99,1234,55.5297,13.0082
99,1234,55.5297,13.0167
99,1234,55.5297,13.0168
99,1234,55.5298,13.0125
99,1234,55.5298,13.0356
99,1234,55.5299,13.0088
99,1234,55.53,13.0146
99,1234,55.53,13.0206
99,1234,55.5301,13.0119
99,1234,55.5301,13.0152
99,1234,55.5302,13.0026
99,1234,55.5302,13.0183
99,1234,55.5302,13.021
99,1234,55.5303,13.0199
99,1234,55.5304,13.0011
99,1234,55.5304,13.0225
99,1234,55.5305,13.0081
99,1234,55.5305,13.0153
99,1234,55.5305,13.0247
99,1234,55.5306,12.9671
99,1234,55.5306,12.997
99,1234,55.5307,13.0148
99,1234,55.5308,12.9979
99,1234,55.5308,12.9998
99,1234,55.5308,13.0056
99,1234,55.5309,13.0079
99,1234,55.5309,13.0205
99,1234,55.531,12.9671
99,1234,55.5311,12.9614
99,1234,55.5311,13.0143
99,1234,55.5311,13.0171
99,1234,55.5312,13.0095
99,1234,55.5314,13.014
99,1234,55.5315,13.0089
99,1234,55.5315,13.0226
99,1234,55.5315,13.0248
99,1234,55.5317,12.999
99,1234,55.5317,12.9999
99,1234,55.5317,13.0065
99,1234,55.5318,13.0097
99,1234,55.5318,13.0151
99,1234,55.5318,13.0192
99,1234,55.5319,12.9519
99,1234,55.5321,13.0109
99,1234,55.5321,13.0179
99,1234,55.5322,13.0053
99,1234,55.5323,12.9495
99,1234,55.5324,12.9978
99,1234,55.5325,13.0151
99,1234,55.5325,13.0171
99,1234,55.5325,13.0177
99,1234,55.5325,13.0186
99,1234,55.5326,13.0021
99,1234,55.5326,13.0056
99,1234,55.5326,13.0178
99,1234,55.5327,13.0167
99,1234,55.5328,12.9502
99,1234,55.5328,13.0037
99,1234,55.5328,13.0118
99,1234,55.5329,13.0054
99,1234,55.533,13.0126
99,1234,55.5331,12.9044
99,1234,55.5331,13.0175
99,1234,55.5332,12.9465
99,1234,55.5332,12.9502
99,1234,55.5333,12.948
99,1234,55.5333,13.0119
99,1234,55.5334,12.9039
99,1234,55.5335,12.9441
99,1234,55.5335,13.0087
99,1234,55.5335,13.0184
99,1234,55.5337,13.0175
99,1234,55.5338,12.941
99,1234,55.5338,12.953
99,1234,55.5338,13.0152
99,1234,55.5339,12.9998
99,1234,55.5339,13.0131
99,1234,55.534,12.9436
99,1234,55.534,13.0164
99,1234,55.5341,12.9219
99,1234,55.5341,13.0779
99,1234,55.5342,12.9221
99,1234,55.5342,12.9526
99,1234,55.5342,13.0101
99,1234,55.5342,13.0193
99,1234,55.5343,12.9216
99,1234,55.5343,12.9469
99,1234,55.5343,13.004
99,1234,55.5344,12.9033
99,1234,55.5344,12.9041
99,1234,55.5344,12.9538
99,1234,55.5344,13.0063
99,1234,55.5345,13.0099
99,1234,55.5346,13.0151
99,1234,55.5347,12.9511
99,1234,55.5348,13.0698
99,1234,55.5349,12.9427
99,1234,55.5349,13.0109
99,1234,55.535,12.9081
99,1234,55.5352,12.9443
99,1234,55.5352,13.0512
99,1234,55.5353,12.9437
99,1234,55.5353,13.0146
99,1234,55.5354,12.9457
99,1234,55.5354,12.9513
99,1234,55.5355,12.9448
99,1234,55.5355,13.0179
99,1234,55.5356,12.9096
99,1234,55.5356,12.9405
99,1234,55.5356,12.9516
99,1234,55.5356,13.0412
99,1234,55.5356,13.0489
99,1234,55.5357,12.945
99,1234,55.5357,12.9507
99,1234,55.5358,12.9226
99,1234,55.536,12.9497
99,1234,55.5361,12.944
99,1234,55.5361,13.0709
99,1234,55.5362,12.9021
99,1234,55.5362,12.9991
99,1234,55.5364,12.9398
99,1234,55.5365,12.9192
99,1234,55.5365,12.9481
99,1234,55.5365,12.9499
99,1234,55.5366,12.9433
99,1234,55.5366,12.9451
99,1234,55.5366,12.9477
99,1234,55.5367,12.9455
99,1234,55.5367,12.9489
99,1234,55.5368,12.9477
99,1234,55.5368,12.9566
99,1234,55.5369,12.9158
99,1234,55.5369,12.949
99,1234,55.5369,12.9549
99,1234,55.537,12.9451
99,1234,55.5371,12.9445
99,1234,55.5372,12.9198
99,1234,55.5372,12.92
99,1234,55.5372,12.9981
99,1234,55.5373,12.9198
99,1234,55.5373,12.9421
99,1234,55.5373,12.9468
99,1234,55.5374,12.9184
99,1234,55.5374,12.9422
99,1234,55.5374,13.0057
99,1234,55.5374,13.0429
99,1234,55.5375,12.9217
99,1234,55.5375,12.9438
99,1234,55.5375,12.9453
99,1234,55.5376,12.9041
99,1234,55.5376,12.9207
99,1234,55.5376,12.9488
99,1234,55.5376,13.0443
99,1234,55.5376,13.0503
99,1234,55.5377,12.9317
99,1234,55.5377,12.946
99,1234,55.5377,13.053
99,1234,55.5378,12.9043
99,1234,55.5378,12.9182
99,1234,55.5379,12.9192
99,1234,55.5379,12.9196
99,1234,55.5379,12.9417
99,1234,55.5379,12.946
99,1234,55.538,12.9433
99,1234,55.538,13.09
99,1234,55.5381,12.9469
99,1234,55.5381,13.0074
99,1234,55.5381,13.008
99,1234,55.5382,12.9188
99,1234,55.5382,12.9578
99,1234,55.5383,12.9187
99,1234,55.5383,12.9538
99,1234,55.5383,13.0641
99,1234,55.5384,12.9211
99,1234,55.5384,12.9507
99,1234,55.5385,13.045
99,1234,55.5386,12.9531
99,1234,55.5387,12.9181
99,1234,55.5387,12.9458
99,1234,55.5387,12.9474
99,1234,55.5388,12.9491
99,1234,55.5389,12.94
99,1234,55.539,12.9501
99,1234,55.5392,13.0087
99,1234,55.5393,13.0056
99,1234,55.5395,13.0403
99,1234,55.5396,12.9454
99,1234,55.5396,13.0554
99,1234,55.5397,12.9483
99,1234,55.5398,13.0069
99,1234,55.5399,13.0928
99,1234,55.54,13.0303
99,1234,55.5401,12.9459
99,1234,55.5401,13.0044
99,1234,55.5401,13.0065
99,1234,55.5401,13.0883
99,1234,55.5401,13.0902
99,1234,55.5402,12.948
99,1234,55.5403,12.9474
99,1234,55.5405,12.933
99,1234,55.5405,12.9465
99,1234,55.5405,13.0034
99,1234,55.5405,13.0977
99,1234,55.5406,12.9744
99,1234,55.5406,13.0063
99,1234,55.5406,13.0808
99,1234,55.5407,13.0908
99,1234,55.5408,12.9482
99,1234,55.5408,12.9548
99,1234,55.5408,13.1091
99,1234,55.5409,13.0512
99,1234,55.541,13.0042
99,1234,55.541,13.115
99,1234,55.5411,12.9407
99,1234,55.5411,13.0893
99,1234,55.5412,12.9435
99,1234,55.5412,12.9559
99,1234,55.5412,13.0339
99,1234,55.5413,13.01
99,1234,55.5413,13.0879
99,1234,55.5413,13.0913
99,1234,55.5414,13.0349
99,1234,55.5414,13.0874
99,1234,55.5415,13.0891
99,1234,55.5416,12.9378
99,1234,55.5416,12.9516
99,1234,55.5416,12.9518
99,1234,55.5417,12.9382
99,1234,55.5417,12.9574
99,1234,55.5417,13.0007
99,1234,55.5417,13.0018
99,1234,55.5417,13.0022
99,1234,55.5418,12.9376
99,1234,55.5418,12.9486
99,1234,55.5418,12.9946
99,1234,55.5418,13.0071
99,1234,55.5418,13.0905
99,1234,55.5419,12.9421
99,1234,55.5419,13.0307
99,1234,55.5419,13.0867
99,1234,55.5419,13.0934
99,1234,55.5421,13.0936
99,1234,55.5422,13.0939
99,1234,55.5423,12.9372
99,1234,55.5423,13.0328
99,1234,55.5423,13.037
99,1234,55.5423,13.0906
99,1234,55.5424,13.0789
99,1234,55.5424,13.0873
99,1234,55.5425,13.0539
99,1234,55.5425,13.0859
99,1234,55.5426,13.0883
99,1234,55.5427,13.1064
99,1234,55.5428,13.0356
99,1234,55.5428,13.0899
99,1234,55.5431,12.9579
99,1234,55.5431,13.0078
99,1234,55.5431,13.0911
